Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Mel, Stephanie",BILD 1 - The Cell (A),WI17,363,205,92.90%,86.90%,5.32,B (3.29),C+ (2.61)
"Dutton, Rachel Janelle",BILD 1 - The Cell (B),WI17,232,193,95.80%,82.80%,4.77,B+ (3.49),B (3.05)
"Komiyama, Takaki",BILD 12 - Neurobiology and Behavior (A),WI17,162,76,91.40%,97.10%,4.41,B (3.17),B- (2.83)
"Leutgeb, Jill K.",BILD 2 - Multicellular Life (A),WI17,204,108,94.10%,64.40%,6.24,B (3.06),B- (2.71)
"Schroeder, Julian I",BILD 2 - Multicellular Life (B),WI17,237,212,95.70%,90.90%,5.31,B+ (3.33),B (3.16)
"Kohn, Joshua R",BILD 3 - Organismic&Evolutionary Biol (A),WI17,365,209,83.50%,76.30%,5.41,B (3.01),C+ (2.70)
"Cooper, Kimberly Lynn",BILD 3 - Organismic&Evolutionary Biol (B),WI17,399,333,91.10%,95.70%,4.98,B (3.27),B- (2.83)
"McDonnell, Lisa Marie",BILD 4 - Introductory Biology Lab (A),WI17,185,136,83.50%,88.70%,3.94,B+ (3.42),B+ (3.65)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (B),WI17,188,129,84.80%,97.60%,3.22,B+ (3.55),B+ (3.46)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (C),WI17,186,171,72.50%,94.20%,3.55,B+ (3.38),B+ (3.52)
"Macagno, Eduardo R.",BILD 60 - DEI in Relation to Human Bio (A),WI17,50,22,95.00%,90.00%,3.13,A- (3.89),B+ (3.53)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),WI17,14,7,83.30%,100.00%,0.5,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),WI17,18,5,100.00%,100.00%,0.5,N/A,N/A
"Hao, Nan",BIMM 100 - Molecular Biology (A),WI17,193,174,98.30%,98.80%,6.09,B+ (3.40),B- (2.84)
"Lauberth, Shannon Marie",BIMM 100 - Molecular Biology (B),WI17,382,219,91.30%,79.30%,6.58,B+ (3.44),B- (2.85)
"Miller, Steven W.",BIMM 101 - Recombinant DNA Techniques (A),WI17,52,49,89.80%,100.00%,6.54,B+ (3.42),B (3.18)
"Reuther, Keefe",BIMM 101 - Recombinant DNA Techniques (B),WI17,60,54,94.40%,92.60%,6.31,B+ (3.48),B+ (3.34)
"Herndon, Jenny Dyann",BIMM 101 - Recombinant DNA Techniques (C),WI17,114,106,97.20%,95.30%,7.02,B+ (3.68),A- (3.75)
"Day, Christopher D",BIMM 101 - Recombinant DNA Techniques (D),WI17,45,18,100.00%,86.70%,7.21,B+ (3.50),B+ (3.37)
"Grossman, Emily N",BIMM 101 - Recombinant DNA Techniques (E),WI17,100,88,98.90%,100.00%,6.84,B+ (3.70),B+ (3.46)
"Tour, Ella",BIMM 110 - Molecular Basis/Human Disease (A),WI17,222,196,90.20%,85.10%,6.65,B+ (3.51),B- (2.92)
"Kadonaga, James T",BIMM 112 - Regulatn/Eucarytc Gene Exp (A),WI17,178,90,94.30%,97.70%,4.64,A- (3.72),A- (3.86)
"Golden, Susan S.",BIMM 116B - Bioclock Studio (A),WI17,14,4,100.00%,100.00%,10,A (4.00),N/A
"David, Michael",BIMM 118 - Pharmacology (A),WI17,104,53,94.20%,94.20%,7.1,B+ (3.53),B+ (3.30)
"Golden, James W",BIMM 120 - Microbiology (A),WI17,217,96,90.00%,88.90%,5.1,B+ (3.48),B- (2.84)
"Gustafson-Brown, Cindy",BIMM 121 - Laboratory in Microbiology (A),WI17,69,56,94.60%,94.60%,8.64,B (3.15),B (3.24)
"Pirino, Giorgia",BIMM 121 - Laboratory in Microbiology (B),WI17,52,49,98.00%,93.90%,7.15,B+ (3.41),B+ (3.39)
"Saier, Milton H.",BIMM 122 - Microbial Genetics (A),WI17,89,38,64.90%,54.10%,6,B+ (3.39),B- (2.87)
"Burg, Michael",BIMM 134 - Biology of Cancer (A),WI17,89,43,100.00%,100.00%,6.16,B+ (3.64),B (3.28)
"Villa Rodriguez, Elizabeth",BIMM 162 - 3D Elctron Microscopy/Macromol (A),WI17,1,1,100.00%,100.00%,10.5,A (4.00),N/A
"Pevzner, Pavel Arkadjevich",BIMM 181 - Molecular Sequence Analysis (A),WI17,10,9,87.50%,62.50%,16.75,B (3.29),N/A
"Hasty, Jeff M",BIMM 194 - Adv Topics-Molecular Bio (A),WI17,27,16,100.00%,100.00%,2.9,A- (3.93),A- (3.80)
"Fortes, P. A. George",BIPN 100 - Human Physiology I (A),WI17,105,43,92.70%,65.90%,6.35,B+ (3.31),C+ (2.55)
"Leutgeb, Stefan",BIPN 100 - Human Physiology I (B),WI17,361,317,93.30%,74.60%,7.33,B+ (3.32),B (3.25)
"Xu, Yang",BIPN 102 - Human Physiology II (A),WI17,170,71,91.00%,70.10%,6.95,B+ (3.35),B (3.13)
"Armour, Jon Christopher",BIPN 105 - Animal Physiology Lab (A),WI17,111,41,89.70%,100.00%,11.58,B (3.23),B (3.16)
"Reyes Gonzalez, Catalina",BIPN 105 - Animal Physiology Lab (B),WI17,57,47,82.60%,97.80%,12.76,B+ (3.40),B- (2.89)
"Hampton, Randolph Y.",BIPN 108 - Biology and Med of Exercise (A),WI17,305,136,93.00%,97.70%,5.13,B+ (3.59),B+ (3.54)
"Fortes, P. A. George",BIPN 120 - Endocrinology (A),WI17,46,21,100.00%,94.10%,7.09,B+ (3.59),B- (2.93)
"Cooke, James Edward",BIPN 134 - Human Reproduction (A),WI17,177,120,99.10%,99.10%,5.59,B+ (3.52),B (3.17)
"Wang, Jing",BIPN 142 - Systems Neurobiology (A),WI17,71,27,96.30%,81.50%,5.86,B+ (3.33),B (3.07)
"Zou, Yimin",BIPN 150 - Diseases of the Nervous System (A),WI17,311,126,92.50%,84.00%,4.86,A- (3.78),B+ (3.46)
"Jin, Yishi",BIPN 194 - Adv Topics-Phys/Neuro (A),WI17,30,17,100.00%,100.00%,3.3,A (4.00),B+ (3.64)
"Newsam, John",BISP 194 - Adv Topics in Modern Biology (A),WI17,42,34,97.10%,97.10%,2.44,A- (3.97),A- (3.99)
"Lo, Stanley Malvin Ming-Hi",BISP 195 - Instructional Apprentice: Biol (0),WI17,108,58,81.80%,92.70%,1.07,A- (3.80),N/A
"Montal, S. Maurice",BIBC 100 - Structural Biochemistry (A),FA16,331,154,77.20%,50.00%,6.94,B (3.00),C+ (2.68)
"Herndon, Jenny Dyann",BIBC 102 - Metabolic Biochemistry (A),FA16,324,284,85.00%,74.60%,8.13,B (3.16),B- (2.78)
"Hampton, Randolph Y.",BIBC 102 - Metabolic Biochemistry (B),FA16,407,202,91.30%,96.70%,7.55,B+ (3.37),B (3.25)
"Soowal, Lara",BIBC 103 - Biochemical Techniques (A),FA16,108,51,95.70%,89.40%,6.97,B (3.26),B (3.17)
"Coleman, Aaron B.",BIBC 103 - Biochemical Techniques (B),FA16,141,80,93.50%,98.70%,6.34,B+ (3.31),B (3.19)
"Montal, S. Maurice",BIBC 194 - Adv Topics-Biochemistry (A),FA16,41,11,81.80%,81.80%,1.5,A- (3.70),A- (3.90)
"Reuther, Keefe",BICD 100 - Genetics (A),FA16,416,366,95.90%,95.10%,5.78,B+ (3.46),B (3.01)
"McDonnell, Lisa Marie",BICD 100 - Genetics (B),FA16,275,224,94.60%,86.90%,6.22,B+ (3.41),B (3.01)
"Kiger, Amy",BICD 110 - Cell Biology (A),FA16,155,134,92.40%,84.80%,6.41,B+ (3.33),B (3.16)
"Gustafson-Brown, Cindy",BICD 136 - AIDS Science and Society (A),FA16,237,183,92.30%,93.40%,7.48,B (3.14),B- (2.74)
"Rifkin, Scott",BIEB 100 - Biostatistics (A),FA16,166,87,67.90%,60.70%,6.18,B (3.04),B- (2.86)
"Shurin, Jonathan",BIEB 102 - Intro Eclgy/Organisms&Habitats (A),FA16,127,113,90.20%,86.60%,5.17,B (3.05),C+ (2.65)
"Henter, Heather J.",BIEB 121 - Ecology Laboratory (A),FA16,33,30,100.00%,100.00%,4.1,B+ (3.33),B- (2.92)
"Kohn, Joshua R",BIEB 126 - Plant Ecology (A),FA16,113,52,92.20%,92.20%,5.5,B (3.04),B- (2.86)
"Mel, Stephanie",BILD 1 - The Cell (A),FA16,343,275,94.00%,93.70%,5.43,B+ (3.40),B- (2.90)
"Burg, Michael",BILD 1 - The Cell (B),FA16,188,130,92.10%,90.60%,4.17,B+ (3.41),B (3.24)
"Burg, Michael",BILD 10 - Fundamental Concepts/Modrn Bio (A),FA16,339,177,96.40%,97.60%,4.22,B+ (3.66),B+ (3.61)
"Wasserman, Steven A.",BILD 2 - Multicellular Life (A),FA16,195,119,94.00%,96.60%,6.72,B (3.13),C+ (2.65)
"Fortes, P. A. George",BILD 2 - Multicellular Life (B),FA16,121,46,90.90%,56.80%,5.05,B+ (3.48),B- (2.78)
"Fortes, P. A. George",BILD 26 - Human Physiology (A),FA16,111,48,81.40%,65.10%,3.99,B (3.00),C+ (2.65)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (A),FA16,316,257,91.30%,93.70%,5.65,B (3.22),B- (2.99)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),FA16,320,260,89.30%,95.60%,6.15,B (3.19),B- (2.99)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (C),FA16,413,355,91.80%,95.20%,4.96,B+ (3.39),B (3.07)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),FA16,182,175,88.40%,92.50%,3.94,B+ (3.51),A- (3.76)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (B),FA16,139,100,81.10%,97.90%,4.37,A- (3.77),A- (3.73)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (C),FA16,185,167,89.20%,97.00%,3.43,B+ (3.69),A- (3.76)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),FA16,21,13,75.00%,66.70%,0.83,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),FA16,19,11,100.00%,100.00%,1.61,A (4.00),N/A
"Jin, Yishi",BILD 96 - Biology: Honors Seminar (A),FA16,26,15,75.00%,91.70%,0.83,N/A,N/A
"Lykke-Andersen, Jens",BIMM 100 - Molecular Biology (A),FA16,341,149,90.70%,92.90%,6.82,B+ (3.36),B- (2.77)
"Pasquinelli, Amy",BIMM 100 - Molecular Biology (B),FA16,239,209,92.30%,92.30%,7.17,B (3.08),C+ (2.46)
"Bozinovic, Goran",BIMM 101 - Recombinant DNA Techniques (A),FA16,97,52,96.10%,92.20%,6.5,B+ (3.45),B+ (3.34)
"Herndon, Jenny Dyann",BIMM 101 - Recombinant DNA Techniques (B),FA16,44,44,95.50%,88.60%,5.55,B+ (3.58),B+ (3.67)
"Grossman, Emily N",BIMM 101 - Recombinant DNA Techniques (C),FA16,48,44,100.00%,100.00%,5.48,B+ (3.67),B+ (3.47)
"McDonnell, Lisa Marie",BIMM 101 - Recombinant DNA Techniques (D),FA16,48,46,95.60%,95.60%,6.78,B (3.29),B+ (3.41)
"Grossman, Emily N",BIMM 101 - Recombinant DNA Techniques (E),FA16,51,47,97.90%,95.70%,6.03,B+ (3.57),B+ (3.47)
"Day, Christopher D",BIMM 101 - Recombinant DNA Techniques (F),FA16,88,59,98.10%,90.70%,5.86,B+ (3.30),B+ (3.46)
"Tour, Ella",BIMM 110 - Molecular Basis/Human Disease (A),FA16,361,273,94.80%,88.90%,5.71,B+ (3.59),B (3.27)
"Golden, Susan S.",BIMM 116 - Circadian Rhythms-Bio Clocks (A),FA16,190,152,86.60%,94.60%,6.01,B (3.19),B (3.08)
"Gorman, Michael R.",BIMM 116 - Circadian Rhythms-Bio Clocks (A),FA16,194,150,86.50%,91.20%,5.98,B (3.20),B (3.08)
"Pirino, Giorgia",BIMM 121 - Laboratory in Microbiology (A),FA16,79,73,97.20%,90.30%,7.54,B+ (3.38),B+ (3.52)
"Chilukuri, Lakshmi N",BIMM 121 - Laboratory in Microbiology (B),FA16,71,51,85.10%,95.70%,7.28,B (3.15),B (3.20)
"Gustafson-Brown, Cindy",BIMM 124 - Medical Microbiology (A),FA16,227,180,90.30%,89.10%,8.52,B (3.30),B- (2.99)
"Hao, Nan",BIMM 140 - Quantitative Principles in Bio (A),FA16,80,56,94.50%,89.10%,4.39,A- (3.73),B (3.24)
"Suel, Gurol Mehmet",BIMM 140 - Quantitative Principles in Bio (A),FA16,78,58,94.70%,98.20%,4.35,A- (3.74),B (3.24)
"Pogliano, Joseph",BIMM 171 - Genomics Research Initiative (A),FA16,28,14,100.00%,100.00%,2.33,A- (3.92),A (4.00)
"Pogliano, Joseph",BIMM 171A - Genomics Research Init Lab I (A),FA16,28,10,100.00%,100.00%,3.3,A- (3.80),A (4.00)
"Mayfield, Stephen P.",BIMM 194 - Adv Topics-Molecular Bio (A),FA16,27,10,90.00%,100.00%,1.9,B+ (3.67),B+ (3.32)
"Bloodgood, Brenda Laurie",BIPN 100 - Human Physiology I (A),FA16,321,297,96.30%,93.20%,7.61,B+ (3.33),B- (2.94)
"Cooke, James Edward",BIPN 100 - Human Physiology I (B),FA16,126,107,99.00%,97.10%,6.54,B+ (3.50),B- (2.86)
"Reyes Gonzalez, Catalina",BIPN 100 - Human Physiology I (C),FA16,94,72,94.40%,88.70%,6.88,B (3.19),B- (2.74)
"Armour, Jon Christopher",BIPN 105 - Animal Physiology Lab (A),FA16,126,52,93.80%,97.90%,12.21,B (3.13),B (3.07)
"Spitzer, Nicholas",BIPN 140 - Cellular Neurobiology (A),FA16,193,79,90.80%,88.20%,8.58,B (3.14),C+ (2.63)
"Su, Chih-Ying",BIPN 140 - Cellular Neurobiology (A),FA16,205,78,90.70%,90.70%,8.67,B (3.14),C+ (2.63)
"Leutgeb, Jill K.",BIPN 148 - Cellular Basis Learning&Memory (A),FA16,291,260,83.00%,86.90%,6.16,B+ (3.41),B+ (3.49)
"Leutgeb, Stefan",BIPN 148 - Cellular Basis Learning&Memory (A),FA16,298,260,83.00%,66.30%,6.16,B+ (3.41),B+ (3.49)
"Yelon, Deborah",BISP 194 - Adv Topics in Modern Biology (A),FA16,32,26,95.80%,95.80%,4,A (4.00),A- (3.97)
"Cooke, James Edward",BISP 195 - Instructional Apprentice: Biol (0),FA16,110,62,96.30%,100.00%,1.59,A (4.00),N/A
"Grossman, Emily N",BIBC 103 - Biochemical Techniques (A),S216,43,41,97.60%,100.00%,8.74,B+ (3.32),B (3.14)
"Herndon, Jenny Dyann",BIBC 103 - Biochemical Techniques (B),S216,16,16,93.80%,81.30%,12.88,B+ (3.50),N/A
"Lo, Stanley Malvin Ming-Hi",BICD 100 - Genetics (A),S216,41,39,71.10%,81.60%,10.34,B+ (3.45),B+ (3.49)
"Smith, Laurie",BICD 101 - Eucaryotic Genetics Laboratory (A),S216,24,21,80.00%,90.00%,6.7,A- (3.80),B+ (3.58)
"Teodorof, Carmen",BICD 110 - Cell Biology (A),S216,108,82,90.10%,88.90%,8.48,B+ (3.41),B (3.26)
"Wills, Christopher",BIEB 150 - Evolution (A),S216,65,40,89.70%,92.30%,5.85,B- (2.89),B- (2.98)
"Reuther, Keefe",BILD 10 - Fundamental Concepts/Modrn Bio (A),S216,68,50,96.00%,100.00%,5.9,B+ (3.59),B+ (3.48)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (A),S216,131,111,90.00%,94.50%,6.63,B+ (3.43),B- (2.89)
"Bozinovic, Goran",BIMM 101 - Recombinant DNA Techniques (A),S216,43,9,100.00%,100.00%,10.83,B+ (3.60),B (3.09)
"Heinrichsen, Erilynn Terese",BIMM 110 - Molecular Basis/Human Disease (A),S216,78,72,100.00%,94.40%,6.53,B+ (3.50),A- (3.73)
"Fortes, P. A. George",BIPN 120 - Endocrinology (A),S216,70,28,88.90%,77.80%,8.94,B (3.11),C+ (2.68)
"Ghosh Dastidar, Ranita",BIBC 102 - Metabolic Biochemistry (A),S116,153,119,79.70%,43.20%,9.94,B (3.09),C+ (2.66)
"Burg, Michael",BIBC 103 - Biochemical Techniques (A),S116,60,44,86.40%,97.70%,9.86,B (3.23),B (3.27)
"Bloomekatz, Joshua",BICD 100 - Genetics (A),S116,68,59,87.70%,54.40%,6.75,B (3.18),B- (2.96)
"Gustafson-Brown, Cindy",BICD 136 - AIDS Science and Society (A),S116,108,58,100.00%,93.00%,9.97,B (3.30),B- (2.77)
"Hicks, Jenna Schug",BILD 1 - The Cell (A),S116,74,60,94.90%,98.30%,5.67,B (3.26),B- (2.87)
"Saier, Milton H.",BILD 18 - Human Impact on the Environmnt (A),S116,20,6,100.00%,100.00%,3.7,A- (3.80),B+ (3.58)
"Vijapurkar, Ulka",BILD 2 - Multicellular Life (A),S116,91,32,90.00%,86.70%,7.57,B (3.29),B- (2.98)
"Lewis, Levi Steele",BILD 3 - Organismic&Evolutionary Biol (A),S116,89,28,73.10%,76.90%,7.19,B+ (3.32),B- (2.74)
"McDonnell, Lisa Marie",BILD 4 - Introductory Biology Lab (A),S116,43,16,78.60%,92.90%,4.07,B+ (3.54),B+ (3.46)
"Miller, Steven W.",BIMM 100 - Molecular Biology (A),S116,127,36,93.30%,90.00%,9.1,B (3.13),C+ (2.47)
"Bozinovic, Goran",BIMM 101 - Recombinant DNA Techniques (A),S116,44,22,92.30%,84.60%,7.12,B (3.15),B (3.10)
"Armour, Jon Christopher",BIPN 100 - Human Physiology I (A),S116,105,23,100.00%,100.00%,12.5,B+ (3.44),C+ (2.68)
"Reyes Gonzalez, Catalina",BIPN 106 - Comparative Physiology (A),S116,60,17,100.00%,100.00%,6.13,B+ (3.44),B- (2.72)
"Coleman, Aaron B.",BIBC 102 - Metabolic Biochemistry (A),SP16,383,155,93.00%,93.70%,7.52,B (3.25),C+ (2.55)
"Zhao, Yunde",BIBC 102 - Metabolic Biochemistry (B),SP16,282,117,85.20%,67.60%,8.07,B (3.08),B- (2.77)
"Soowal, Lara",BIBC 103 - Biochemical Techniques (A),SP16,136,61,75.00%,40.00%,7.45,B- (2.98),C+ (2.52)
"Coleman, Aaron B.",BIBC 103 - Biochemical Techniques (B),SP16,70,48,90.50%,90.50%,6.36,B+ (3.31),B (3.21)
"Bozinovic, Goran",BIBC 103 - Biochemical Techniques (C),SP16,128,56,93.80%,87.50%,8.88,B (3.09),B (3.19)
"Crawford, Nigel M.",BIBC 120 - Nutrition (A),SP16,408,185,97.80%,98.90%,5.77,B+ (3.43),B- (2.99)
"Mayfield, Stephen P.",BIBC 140 - Our Energy Future (A),SP16,126,51,91.10%,91.10%,4.64,B+ (3.44),B- (2.94)
"Reuther, Keefe",BICD 100 - Genetics (A),SP16,346,284,94.70%,96.80%,5.77,B+ (3.34),B- (2.71)
"Troemel, Emily Ruth",BICD 100 - Genetics (B),SP16,272,124,95.80%,92.40%,4.66,B+ (3.34),B- (2.91)
"Forbes, Douglass Jane",BICD 110 - Cell Biology (A),SP16,299,133,95.30%,91.30%,6.2,B+ (3.46),B+ (3.35)
"Lim, Byungkook",BICD 110 - Cell Biology (B),SP16,77,26,79.20%,58.30%,6.5,B (3.13),B- (2.96)
"Cooper, Kimberly Lynn",BICD 112 - Stem Cells and Regeneration (A),SP16,69,41,97.40%,100.00%,6.71,B+ (3.41),B (3.25)
"Traver, David",BICD 112 - Stem Cells and Regeneration (A),SP16,69,39,100.00%,100.00%,6.72,B+ (3.42),B (3.25)
"Yanofsky, Martin F.",BICD 123 - Plant Mol Genetics&Biotech Lab (A),SP16,37,16,93.80%,93.80%,7.88,A- (3.75),B+ (3.51)
"Zhao, Yunde",BICD 123 - Plant Mol Genetics&Biotech Lab (A),SP16,37,15,93.30%,93.30%,7.43,A- (3.80),B+ (3.51)
"Gustafson-Brown, Cindy",BICD 136 - AIDS Science and Society (A),SP16,307,217,89.70%,86.90%,7.43,B (3.21),B- (2.72)
"Goldrath, Ananda",BICD 140 - Immunology (A),SP16,165,105,89.20%,95.10%,7.65,B (3.27),B- (2.89)
"Desai, Arshad",BICD 194 - Adv Topics-Cellular Dev (A),SP16,13,5,100.00%,100.00%,2.9,A- (3.80),N/A
"Oegema, Karen",BICD 194 - Adv Topics-Cellular Dev (A),SP16,13,6,100.00%,100.00%,3.17,A- (3.83),N/A
"Estelle, Mark",BICD 194 - Adv Topics-Cellular Dev (B),SP16,12,3,100.00%,100.00%,2.5,A (4.00),N/A
"Henter, Heather J.",BIEB 121 - Ecology Laboratory (A),SP16,31,29,100.00%,100.00%,5.74,B+ (3.43),B+ (3.51)
"Roy, Kaustuv",BIEB 140 - Biodiversity (A),SP16,108,54,92.30%,88.50%,5.4,B (3.20),B- (2.72)
"Chao, Lin",BIEB 143 - Comp Modeling in Evol/Ecol (A),SP16,20,11,100.00%,100.00%,4.5,B+ (3.67),B+ (3.44)
"Rifkin, Scott",BIEB 143 - Comp Modeling in Evol/Ecol (A),SP16,20,11,100.00%,100.00%,4.5,B+ (3.67),B+ (3.44)
"Meyer, Justin Raymond",BIEB 152 - Evol of Infectious Diseases (A),SP16,184,154,86.40%,87.70%,4.82,B+ (3.33),B- (2.99)
"Reuther, Keefe",BILD 1 - The Cell (A),SP16,350,283,98.20%,94.60%,5.14,B+ (3.49),B- (2.84)
"Patrick, Gentry",BILD 1 - The Cell (B),SP16,194,83,87.80%,58.10%,5.04,B (3.20),B- (2.88)
"Saier, Milton H.",BILD 18 - Human Impact on the Environmnt (A),SP16,115,51,82.60%,82.60%,3.07,B+ (3.67),B (3.12)
"Su, Chih-Ying",BILD 2 - Multicellular Life (A),SP16,304,150,93.70%,79.00%,5.93,B (3.19),C+ (2.51)
"Strause, Linda G.",BILD 22 - Human Nutrition (A),SP16,348,160,97.30%,94.50%,3.43,B+ (3.68),B+ (3.58)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (A),SP16,289,208,85.00%,75.20%,4.84,B+ (3.41),B- (2.82)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),SP16,137,108,90.60%,87.70%,5.29,B+ (3.38),B- (2.82)
"Macagno, Eduardo R.","BILD 38 - Dementia, Science and Society (A)",SP16,45,19,94.40%,88.90%,3.06,B+ (3.31),B (3.24)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),SP16,201,157,69.50%,76.80%,3.59,B+ (3.41),B+ (3.34)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (B),SP16,197,127,84.70%,99.20%,3.06,B+ (3.69),B (3.24)
"Wang, Jean Yin Jen",BILD 40 - Intro to Biomed Research (A),SP16,81,39,100.00%,100.00%,0.68,A (4.00),N/A
"Mel, Stephanie",BILD 60 - Biology and Diversity (A),SP16,50,27,100.00%,100.00%,3.35,A- (3.85),A- (3.71)
"Bier, Ethan",BILD 7 - The Beginning of Life (A),SP16,175,59,73.20%,82.10%,3.42,B+ (3.36),B- (2.82)
"Yanofsky, Martin F.",BILD 7 - The Beginning of Life (A),SP16,186,59,73.20%,89.30%,3.46,B+ (3.36),B- (2.82)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),SP16,16,6,60.00%,60.00%,0.5,N/A,N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),SP16,12,5,100.00%,100.00%,0.5,A (4.00),N/A
"Pruneda-Paz, Jose L.",BIMM 100 - Molecular Biology (A),SP16,314,125,89.90%,84.00%,6.21,B+ (3.33),B- (2.98)
"Burg, Michael",BIMM 100 - Molecular Biology (B),SP16,226,158,96.20%,89.20%,5.58,B+ (3.55),B (3.16)
"Grossman, Emily N",BIMM 101 - Recombinant DNA Techniques (A),SP16,92,84,98.80%,98.80%,4.69,B+ (3.65),B+ (3.51)
"Tour, Ella",BIMM 101 - Recombinant DNA Techniques (B),SP16,48,15,100.00%,100.00%,6.5,B+ (3.50),B (3.19)
"Herndon, Jenny Dyann",BIMM 101 - Recombinant DNA Techniques (C),SP16,50,44,95.50%,100.00%,5.82,B+ (3.41),B+ (3.43)
"Dunbar, Tiffany L",BIMM 101 - Recombinant DNA Techniques (D),SP16,50,50,100.00%,100.00%,5.78,B+ (3.38),B+ (3.42)
"Butler, Madeline",BIMM 101 - Recombinant DNA Techniques (E),SP16,51,12,100.00%,100.00%,7.05,B (3.18),B (3.25)
"McDonnell, Lisa Marie",BIMM 101 - Recombinant DNA Techniques (F),SP16,48,47,97.90%,93.60%,7.65,B+ (3.50),B (3.27)
"Niwa, Maho",BIMM 110 - Molecular Basis/Human Disease (A),SP16,135,66,90.50%,85.70%,5.53,A- (3.80),B (3.15)
"Zuniga, Elina I",BIMM 114 - Virology (A),SP16,137,57,89.30%,66.10%,5.35,B+ (3.31),C+ (2.56)
"Gustafson-Brown, Cindy",BIMM 120 - Bacteriology (A),SP16,154,116,91.20%,92.10%,7.15,B (3.27),C+ (2.67)
"Chilukuri, Lakshmi N",BIMM 121 - Laboratory in Microbiology (A),SP16,47,36,88.60%,97.10%,7.53,B (3.20),B (3.23)
"Ring, Gabriela Aviva",BIMM 121 - Laboratory in Microbiology (B),SP16,90,50,76.10%,89.10%,9.37,B+ (3.40),B+ (3.37)
"Bennett, Eric J",BIMM 134 - Biology of Cancer (A),SP16,39,29,92.30%,92.30%,5.7,B+ (3.50),B- (2.98)
