Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Lu, Weijing","HILD 11 - East Asia & the West,1279-1911 (A)",WI17,162,55,85.50%,63.60%,5.1,B (3.22),B- (2.80)
"Klein, Rachel",HILD 2B - United States History (A),WI17,186,92,90.90%,97.70%,4.27,B+ (3.47),B+ (3.48)
"Edington, Claire Ellen",HILD 30 - History of Public Health (A),WI17,155,69,93.90%,97.00%,5.55,B+ (3.58),B+ (3.51)
"Man, Simeon S",HILD 7B - Race & Ethnicity/United States (A),WI17,367,228,89.60%,93.70%,3.94,B+ (3.70),A- (3.74)
"Goodblatt, David",HINE 102 - The Jews/Their Homelnd/Antiqty (A),WI17,20,11,100.00%,100.00%,6.1,B+ (3.33),B+ (3.34)
"Shafir, Nir",HINE 109 - History of the Ottoman Empire (A),WI17,36,11,80.00%,70.00%,6.94,B+ (3.38),B (3.24)
"Kayali, Hasan",HINE 116 - Mid East/Age of Euro Empires (A),WI17,25,12,100.00%,100.00%,8.5,A- (3.80),B+ (3.31)
"Provence, Michael",HINE 119 - U.S. Mid-East Policy-Post WWII (A),WI17,58,21,100.00%,100.00%,5.34,B+ (3.56),B+ (3.48)
"Westman, Robert S",HISC 106 - The Scientific Revolution (A),WI17,33,19,72.20%,83.30%,4.5,B (3.11),B- (2.99)
"Gere, Catherina M.",HISC 173 - Darwin & Darwinisms (A),WI17,7,4,100.00%,100.00%,5.5,A (4.00),N/A
"Patterson, Patrick H.",HITO 119 - Human Rights I: Introduction (A),WI17,12,10,100.00%,100.00%,7.9,A (4.00),N/A
"Johnson, Monte",HITO 87 - Freshman Seminar (A),WI17,7,3,100.00%,100.00%,2.5,N/A,N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (A),WI17,7,3,100.00%,100.00%,2.5,N/A,N/A
"Murillo, Dana V.",HITO 87 - Freshman Seminar (B),WI17,7,3,100.00%,100.00%,1.83,A (4.00),N/A
"Plant, Rebecca Jo",HIUS 112 - The U.S. Civil War (A),WI17,46,14,100.00%,100.00%,5.5,A- (3.92),B+ (3.31)
"Parrish, Michael E.",HIUS 151 - American Legal History 1865-P (A),WI17,14,5,60.00%,80.00%,3.7,B (3.00),N/A
"Man, Simeon S",HIUS 174 - Race Wars in American Culture (A),WI17,8,4,75.00%,100.00%,4.5,B (3.00),N/A
"Klein, Rachel",HIUS 188 - Topics in Culture & Politics (A),WI17,8,5,100.00%,100.00%,7.3,B+ (3.60),N/A
"Henry, Todd A.",HIEA 152 - Hist.&Cultures/Korean Diaspora (A),FA16,14,7,100.00%,85.70%,9.07,B (3.17),N/A
"Demetriou, Denise","HIEU 106 - Egypt, Greece, and Rome (A)",FA16,58,27,85.20%,88.90%,5.09,B (3.21),B (3.17)
"Frolich, Margrit Luise",HIEU 142 - Euro Intellct Hist: 1780-1870 (A),FA16,54,22,95.20%,100.00%,5.9,B+ (3.56),B+ (3.62)
"Hertz, Deborah",HIEU 148 - How Women Changed Europe (B),FA16,50,41,75.00%,82.50%,3.17,A- (3.83),B+ (3.65)
"Biess, Frank Peter",HIEU 154 - Mod German/Bismarck to Hitler (A),FA16,123,91,96.70%,97.80%,5.39,B+ (3.52),B+ (3.46)
"Strasser, Ulrike",No CAPEs submitted,FA16,3,0,N/A,N/A,N/A,N/A,N/A
"Hunefeldt, Christine",HILA 123 - The Incas and Their Ancestors (A),FA16,38,13,75.00%,66.70%,6.68,B- (2.78),B (3.13)
"Schneewind, Sarah",HILD 10 - East Asia: The Great Tradition (A),FA16,152,115,64.50%,74.50%,7.98,B (3.00),B (3.26)
"Wishon, Mark T",HILD 2A - United States History (A),FA16,186,91,90.90%,97.70%,4.27,B+ (3.46),B+ (3.30)
"Graham, Jessica Lynn",HILD 7A - Race & Ethnicity/United States (A),FA16,365,166,88.10%,95.00%,4.49,B+ (3.40),B+ (3.49)
"Kayali, Hasan",HINE 114 - History/Islamic Middle East (A),FA16,67,22,78.90%,68.40%,4.5,B (3.21),B (3.09)
"Provence, Michael",HINE 120 - Middle East in the New Century (A),FA16,65,29,88.90%,88.90%,3.91,B+ (3.50),B (3.28)
"Propp, William Henry",HINE 131 - Intro Old Testament: Poetic (A),FA16,10,4,66.70%,66.70%,3.17,B+ (3.33),N/A
"Gere, Catherina M.",HISC 116 - History of Bioethics (A),FA16,109,53,98.00%,98.00%,4.34,A- (3.78),B+ (3.48)
"Goodblatt, David",HITO 104 - Jews & Judaism/Ancient&Medievl (A),FA16,19,8,85.70%,100.00%,3.83,B (3.00),N/A
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),FA16,1,1,0.00%,0.00%,0,N/A,N/A
"Hanna, Mark G.",HITO 87 - Freshman Seminar (A),FA16,10,8,87.50%,87.50%,0.5,N/A,N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (B),FA16,16,9,100.00%,100.00%,1.75,A (4.00),N/A
"Patterson, Patrick H.",HITO 87 - Freshman Seminar (C),FA16,14,10,100.00%,100.00%,3.5,A (4.00),N/A
"Gutierrez, David G",HIUS 113 - History of Mexican America (A),FA16,106,41,87.50%,85.00%,4.4,B (3.12),B (3.07)
"Molina, Natalia",HIUS 129 - Race/Ethnicity-American Cities (A),FA16,14,11,90.90%,90.90%,6.5,B (3.20),N/A
"Parrish, Michael E.",HIUS 150 - American Legal History to 1865 (A),FA16,51,22,68.20%,77.30%,4.98,B+ (3.38),B- (2.74)
"Gutierrez, David G",HIUS 180 - Immigration&Ethnicity/Amer Soc (A),FA16,7,1,0.00%,0.00%,0,N/A,N/A
"Kwak, Nancy",HIUS 181 - Topics in 20th Century U.S. (A),FA16,9,4,100.00%,100.00%,6.5,A (4.00),N/A
"Graham, Jessica Lynn",HIUS 183 - Topics/African American Hist. (B),FA16,2,1,100.00%,100.00%,8.5,N/A,N/A
"Carmona Zabala, Juan",HIEU 116C - Greece/Balkans/20th Century (A),S216,6,5,100.00%,100.00%,14.1,B+ (3.60),N/A
"Brivio, Alessandra",HIEU 120 - The Renaissance in Italy (A),S216,17,15,93.30%,100.00%,6.36,B+ (3.62),N/A
"Chamberlin, Foster Pease",HIEU 151 - Spain Since 1808 (A),S216,16,14,85.70%,100.00%,5.79,B+ (3.42),N/A
"Biess, Frank Peter",HIEU 154GS - Mod German/Bismarck to Hitler (A),S216,28,13,100.00%,100.00%,6,A- (3.75),A- (3.75)
"Morales Fontanilla, Manuel Antonio",HILA 103 - Revolution/Modern Latin Americ (A),S216,17,12,100.00%,100.00%,7.83,B+ (3.36),N/A
"Kwak, Nancy",HILD 7B - Race & Ethnicity/United States (A),S216,66,19,84.20%,94.70%,6.5,B+ (3.30),B+ (3.34)
"Adamiak, Patrick John",HINE 114 - History/Islamic Middle East (A),S216,10,10,100.00%,100.00%,4.1,A- (3.88),N/A
"Patterson, Patrick H.","HITO 156 - Div, Equity, Inclusion US/Eur (A)",S216,18,17,100.00%,100.00%,8.5,A- (3.79),N/A
"West, Cameo Lyn Simone",HIUS 122 - History & Hollywood (A),S216,18,11,100.00%,100.00%,5.1,B+ (3.57),N/A
"Kwak, Nancy",HIUS 123 - History of New York City (A),S216,17,5,80.00%,100.00%,6.5,B+ (3.50),N/A
"Gallant, Thomas W.",HIEU 117GS - Tradtl Greek Society:Ethnogrph (A),S116,26,8,100.00%,100.00%,5.17,A- (3.83),A- (3.88)
"Parrish, Michael E.",HIEU 121GS - Scotl/Engl Civil War 1601-1689 (A),S116,17,6,100.00%,83.30%,6.83,A- (3.83),N/A
"Sunu, Suleyman Emre",HIEU 127 - Sport in the Modern World (A),S116,16,11,100.00%,100.00%,5.3,B+ (3.56),N/A
"Terrell, Robert",HIEU 128 - Europe since 1945 (A),S116,17,13,100.00%,100.00%,6.32,B (3.00),N/A
"Patterson, Patrick H.",HIEU 153 - Topics/Modern European History (A),S116,15,15,100.00%,100.00%,7.43,B+ (3.64),N/A
"Sanchez-Lopez, Luis Eduardo",HILA 102 - Latin America/Twentieth Centry (A),S116,12,3,66.70%,0.00%,8.5,B+ (3.67),N/A
"Kokinis, Troy Andreas",HILA 120 - History of Argentina (A),S116,7,1,100.00%,100.00%,16.5,A (4.00),N/A
"Pina, Ulices",HILD 14 - Film & History in Latin Amer (A),S116,13,5,80.00%,80.00%,6.9,A (4.00),N/A
"Flach, Kathryn L",HILD 2C - United States History (A),S116,14,12,83.30%,91.70%,5.59,B+ (3.44),N/A
"Odom, Mychal Matsemelaali",HILD 7A - Race & Ethnicity/United States (A),S116,30,6,100.00%,100.00%,4.9,B (3.00),B+ (3.53)
"Alvarez, Luis A",HILD 7C - Race & Ethnicity/United States (A),S116,50,14,92.90%,100.00%,5.07,B+ (3.44),B (3.12)
"Kwak, Nancy",HILD 7GS - Race & Ethnicity/Global World (A),S116,10,2,100.00%,100.00%,6.5,B+ (3.50),N/A
"Dryer, Theodora J",HISC 111 - The Atomic Bomb&the Atomic Age (A),S116,18,8,100.00%,100.00%,6.5,A (4.00),N/A
"Golan, Tal",No CAPEs submitted,S116,14,0,N/A,N/A,N/A,N/A,N/A
"Kwak, Nancy","HITO 118GS - Global Cities/Seoul, Korea (A)",S116,10,1,100.00%,100.00%,6.5,A (4.00),N/A
"Widener, Daniel","HIUS 114B - California Hist., 1850-Present (A)",S116,14,6,80.00%,80.00%,4.1,A (4.00),N/A
"Villegas, Mark Redondo",HIUS 124 - Asian American History (A),S116,12,1,100.00%,100.00%,4.5,A (4.00),N/A
"Alvarez, Luis A","HIUS 146 - Race, Riots & Violence in U.S. (A)",S116,20,6,100.00%,100.00%,5.7,B+ (3.60),B+ (3.37)
"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),SP16,69,33,96.90%,96.90%,3.08,B+ (3.69),B+ (3.53)
"Gerth, Karl G.",HIEA 140 - China Contemporary World (A),SP16,50,42,92.90%,92.90%,6.45,B+ (3.48),B+ (3.45)
"Kim, Hyung-Wook",HIEA 144 - Topics in East Asian History (A),SP16,46,22,90.90%,90.90%,4.14,B+ (3.68),B (3.21)
"Henry, Todd A.","HIEA 151 - The Two Koreas, 1945-Prsent (A)",SP16,51,22,100.00%,95.50%,4.95,B (3.22),B- (2.96)
"Hillman, Susanne",HIEU 109 - Nationalism in Europe (A),SP16,54,42,95.10%,92.70%,4.86,B+ (3.38),B+ (3.36)
"Biess, Frank Peter",HIEU 128 - Europe since 1945 (A),SP16,71,62,96.80%,96.80%,5.47,B+ (3.31),B+ (3.30)
"Edington, Claire Ellen",HIEU 137 - New Imperialsm to Decoloniztn (A),SP16,52,20,94.40%,100.00%,4.61,B+ (3.44),B+ (3.31)
"Frolich, Margrit Luise",HIEU 153 - Topics/Modern European History (A),SP16,44,20,89.50%,84.20%,4.82,B+ (3.50),B+ (3.39)
"Edelman, Robert S.",HIEU 156 - Hist. Soviet Union 1905-1991 (A),SP16,55,22,76.20%,76.20%,4.08,B+ (3.41),B+ (3.63)
"Frolich, Margrit Luise",HIEU 171 - Topic/Twentieth Century Europe (A),SP16,10,2,100.00%,50.00%,6.5,A (4.00),N/A
"Vitz, Matthew",HILA 132 - Modern Mexico (A),SP16,63,34,96.90%,96.90%,4.19,B+ (3.44),B+ (3.51)
"Henry, Todd A.",HILD 12 - Twentieth-Century East Asia (A),SP16,116,50,85.70%,79.60%,5.7,B+ (3.48),B (3.13)
"Monteon, Michael P.",HILD 14 - Film & History in Latin Amer (A),SP16,43,13,84.60%,92.30%,2.67,B+ (3.30),B (3.03)
"Parrish, Michael E.",HILD 2C - United States History (A),SP16,173,60,86.20%,89.70%,4.03,B+ (3.44),B+ (3.38)
"Alvarez, Luis A",HILD 7C - Race & Ethnicity/United States (A),SP16,308,117,88.10%,87.20%,3.75,B+ (3.40),B+ (3.51)
"Kayali, Hasan",HINE 118 - Middle East/Twentieth Century (A),SP16,66,26,96.00%,96.00%,4.33,B+ (3.36),B (3.25)
"Propp, William Henry",HINE 130 - Intro Old Testament:Historical (A),SP16,17,16,81.30%,81.30%,5.75,B+ (3.36),N/A
"Goodblatt, David",HINE 170 - Special Tops/Jewish History (A),SP16,8,1,100.00%,100.00%,6.5,A (4.00),N/A
"Westman, Robert S",HISC 110 - Hist. Encounters/Sci.&Religion (A),SP16,27,16,62.50%,68.80%,4.5,B (3.18),B (3.06)
"Hertz, Deborah",HITO 136 - Jews/AfricanAmericans/Slavery (A),SP16,58,39,86.50%,81.10%,3.78,B+ (3.62),B+ (3.58)
"Golan, Tal",HITO 87 - Freshman Seminar (B),SP16,8,3,100.00%,100.00%,0.5,N/A,N/A
"Man, Simeon S",HIUS 103 - United States & Pacific World (A),SP16,47,43,92.70%,100.00%,4.7,B+ (3.33),B+ (3.64)
"Sine, Elizabeth E",HIUS 111 - America & World/WWI-Present (A),SP16,31,25,76.00%,88.00%,4.98,B+ (3.53),B+ (3.47)
"Plant, Rebecca Jo",HIUS 112 - The U.S. Civil War (A),SP16,33,17,100.00%,100.00%,4.77,B+ (3.62),B+ (3.63)
"Sine, Elizabeth E",HIUS 126 - History of Race in the U.S. (A),SP16,47,33,97.00%,100.00%,5.35,B+ (3.39),B (3.02)
"Man, Simeon S",HIUS 174 - Race Wars in American Culture (A),SP16,13,6,100.00%,100.00%,4.5,B+ (3.60),N/A
"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),WI16,62,48,100.00%,97.90%,3.37,B+ (3.45),B (3.29)
"Matsumura, Wendy Y",HIEA 115 - Social&Cultural/20th C Japan (A),WI16,64,29,85.70%,92.90%,4.5,B+ (3.45),B (3.29)
"Henry, Todd A.","HIEA 150 - Modern Korea, 1800-1945 (A)",WI16,45,20,89.50%,89.50%,4.5,B (3.12),B (3.13)
"Demetriou, Denise",HIEU 101 - Greece in the Classical Age (A),WI16,48,24,95.20%,100.00%,5.17,B+ (3.40),B- (2.91)
"Caciola, Nancy A",HIEU 115 - The Pursuit of the Millenium (A),WI16,45,22,90.50%,100.00%,3.64,B (3.20),B (3.18)
"Gallant, Thomas W.",HIEU 116B - Greece/Balkans/Age/Nationalism (A),WI16,54,26,92.30%,92.30%,3.62,A- (3.75),B (3.25)
"Hughes, Judith M.",HIEU 141 - Eur Diplomatic Hist 1870-1945 (A),WI16,22,6,100.00%,83.30%,5.5,B+ (3.50),B- (2.79)
"Frolich, Margrit Luise",HIEU 144 - Topics in European History (A),WI16,63,23,81.00%,76.20%,4.5,B+ (3.37),B+ (3.56)
"Demetriou, Denise",HIEU 160 - Topics/Ancient Greek History (A),WI16,6,3,100.00%,100.00%,9.83,B+ (3.33),N/A
"Edelman, Robert S.",HIEU 178 - Soviet History (A),WI16,10,2,50.00%,50.00%,7.5,B (3.00),N/A
"Gallant, Thomas W.",HIEU 183 - Social Hist/Mediterranean (A),WI16,5,1,100.00%,100.00%,8.5,A (4.00),N/A
"Vitz, Matthew",HILA 102 - Latin America/Twentieth Centry (A),WI16,53,27,81.50%,85.20%,4.06,B+ (3.50),B+ (3.30)
"Monteon, Michael P.",HILA 120 - History of Argentina (A),WI16,11,4,75.00%,50.00%,2.5,B+ (3.50),N/A
"Murillo, Dana V.",HILA 161 - History/Women in Latin America (A),WI16,5,1,100.00%,100.00%,6.5,A (4.00),N/A
"Gerth, Karl G.","HILD 11 - East Asia & the West,1279-1911 (A)",WI16,158,66,73.40%,59.40%,4.56,B+ (3.43),B (3.13)
"Klein, Rachel",HILD 2B - United States History (A),WI16,174,81,92.10%,97.40%,4.45,B+ (3.59),B+ (3.45)
"Edington, Claire Ellen",HILD 30 - History of Public Health (A),WI16,139,80,93.50%,94.80%,5.05,B+ (3.59),B+ (3.49)
"Man, Simeon S",HILD 7B - Race & Ethnicity/United States (A),WI16,293,163,91.80%,97.50%,4.2,B+ (3.69),B+ (3.69)
"Goodblatt, David",HINE 108 - The Middle East Before Islam (A),WI16,32,19,89.50%,89.50%,4.18,B+ (3.53),B (3.01)
"Kayali, Hasan",HINE 116 - Mid East/Age of Euro Empires (A),WI16,24,9,88.90%,88.90%,6.72,B+ (3.50),B (3.20)
"Provence, Michael",HINE 119 - U.S. Mid-East Policy-Post WWII (A),WI16,66,29,96.30%,85.20%,4.9,A- (3.72),B+ (3.34)
"Westman, Robert S",HISC 106 - The Scientific Revolution (A),WI16,22,7,85.70%,85.70%,4.21,B+ (3.60),B (3.17)
"Gere, Catherina M.",HISC 108 - Life Sciences in 20th Century (A),WI16,43,19,94.40%,94.40%,3.56,A- (3.78),B+ (3.40)
"Golan, Tal",HISC 180 - Science and Public Policy (A),WI16,7,2,100.00%,100.00%,7.5,A (4.00),N/A
"Patterson, Patrick H.",HITO 119 - Human Rights I: Introduction (A),WI16,15,11,100.00%,100.00%,8.14,A- (3.70),N/A
"Hanna, Mark G.",HITO 178 - Hist of Seafaring/Age of Sail (A),WI16,10,2,100.00%,100.00%,6.5,A (4.00),N/A
"Kernell, Samuel H.",No CAPEs submitted,WI16,1,0,N/A,N/A,N/A,N/A,N/A
"Hanna, Mark G.",HITO 87 - Freshman Seminar (A),WI16,8,7,100.00%,100.00%,1.64,A (4.00),N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (C),WI16,11,6,83.30%,100.00%,2.17,N/A,N/A
"Prestholdt, Jeremy",HITO 87 - Freshman Seminar (D),WI16,6,5,100.00%,100.00%,2.5,A (4.00),N/A
"Molina, Natalia Margarita",HIUS 129 - Race/Ethnicity-American Cities (A),WI16,10,7,100.00%,100.00%,4.79,B+ (3.57),N/A
"Hanna, Mark G.",HIUS 133 - The Golden Age of Piracy (A),WI16,126,64,95.10%,93.40%,3.78,A- (3.75),B+ (3.38)
"Gutierrez, David G",HIUS 136 - Citizenship & Civil Rts/20th c (A),WI16,57,17,86.70%,80.00%,5.07,B+ (3.50),B (3.11)
"Hendrickson, Gerald M.",HIUS 145 - From New Era to New Deal (A),WI16,32,11,100.00%,100.00%,4.3,A- (3.70),B+ (3.45)
"Alvarez, Luis A","HIUS 146 - Race, Riots & Violence in U.S. (A)",WI16,101,49,93.30%,91.10%,4.32,B+ (3.44),B (3.20)
"Frank, Ross H.",HIUS 158 - Social & Econ Hist/Southwest I (A),WI16,22,7,100.00%,100.00%,6.5,B+ (3.33),B+ (3.43)
"Gutierrez, David G",HIUS 180 - Immigration&Ethnicity/Amer Soc (A),WI16,4,1,100.00%,0.00%,10.5,B (3.00),N/A
"Matsumura, Wendy Y",HIEA 112 - Japan:Mid-19th C.-US Occupatn (A),FA15,63,25,100.00%,100.00%,4.92,B (3.29),B (3.21)
"Pickowicz, Paul G.",HIEA 132 - Hist/People's Republic/China (A),FA15,93,43,97.60%,97.60%,7.62,A- (3.74),B+ (3.32)
"Shin, Layoung",HIEA 180 - Topics/Modern Korean History (A),FA15,8,4,100.00%,100.00%,6.5,B+ (3.67),N/A
"Watts, Edward J.",HIEU 103 - Decline and Fall/Roman Empire (A),FA15,62,15,92.30%,100.00%,5.12,B+ (3.45),B (3.10)
"Gallant, Thomas W.",HIEU 116A - Greece/Balkans/Age/Ottoman (A),FA15,79,31,100.00%,100.00%,3.92,B+ (3.63),B+ (3.33)
"Edelman, Robert S.",HIEU 127 - Sport in the Modern World (A),FA15,53,21,88.20%,88.20%,3.32,B+ (3.31),B+ (3.33)
"Frolich, Margrit Luise",HIEU 143 - Europn Intellct Hst(1870-1945) (A),FA15,43,14,92.90%,100.00%,5.07,B+ (3.62),B+ (3.57)
"Hughes, Judith M.",HIEU 150 - Modern British History (A),FA15,23,12,66.70%,50.00%,9.33,B (3.20),B- (2.94)
"Demetriou, Denise",HIEU 160 - Topics/Ancient Greek History (A),FA15,9,4,100.00%,100.00%,8.5,B (3.00),N/A
"Biess, Frank Peter",HIEU 171 - Topic/Twentieth Century Europe (A),FA15,6,2,100.00%,100.00%,7.5,A (4.00),N/A
"Hughes, Judith M.",HIEU 174 - The Holocaust:Psychol Approach (A),FA15,10,5,60.00%,60.00%,7.3,B (3.20),N/A
"Murillo, Dana V.",HILA 100 - Conquest/Empire: The Americas (A),FA15,48,18,88.20%,100.00%,4.1,B (3.27),B (3.06)
"Vitz, Matthew",HILA 131 - Mexico/Conquest to Mod (A),FA15,57,29,92.00%,96.00%,4.66,B+ (3.41),B (3.07)
"Schneewind, Sarah",HILD 10 - East Asia: The Great Tradition (A),FA15,171,115,78.10%,85.10%,6.77,B+ (3.32),B (3.08)
"Wishon, Mark T",HILD 2A - United States History (A),FA15,189,96,84.90%,83.90%,3.91,B+ (3.42),B+ (3.48)
"Widener, Daniel",HILD 7A - Race & Ethnicity/United States (A),FA15,400,195,78.00%,87.40%,5,B+ (3.55),B+ (3.52)
"Provence, Michael",HINE 114 - History/Islamic Middle East (A),FA15,54,24,95.50%,86.40%,6.41,B+ (3.52),B (3.19)
"Kayali, Hasan",HINE 186 - Topics/Middle Eastern History (A),FA15,7,5,100.00%,80.00%,9.7,B+ (3.40),N/A
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),FA15,27,9,77.80%,66.70%,2.28,B+ (3.57),B+ (3.48)
"Gere, Catherina M.",HISC 115 - History Modern Medicine (A),FA15,116,36,93.50%,96.80%,4.43,A- (3.73),B+ (3.46)
"Gere, Catherina M.",HISC 116 - History of Bioethics (A),FA15,80,33,100.00%,96.90%,3.73,A- (3.77),B+ (3.66)
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",FA15,45,14,78.60%,57.10%,4.5,B (3.00),B (3.26)
"Widener, Daniel",HITO 155 - Race/Sport/Inequality 20th Cen (A),FA15,68,28,88.90%,96.30%,4.42,B+ (3.47),A- (3.70)
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),FA15,2,2,100.00%,100.00%,0,N/A,N/A
"Hanna, Mark G.",HITO 87 - Freshman Seminar (B),FA15,14,11,100.00%,100.00%,0.68,B+ (3.50),N/A
"Prestholdt, Jeremy",HITO 87 - Freshman Seminar (C),FA15,11,5,80.00%,80.00%,4.9,N/A,N/A
"Golan, Tal",HITO 87 - Freshman Seminar (D),FA15,17,11,90.90%,90.90%,0.68,A (4.00),N/A
"Gutierrez, David G",HIUS 113 - History of Mexican America (A),FA15,103,37,73.50%,70.60%,4.85,B (3.17),B (3.04)
"Hendrickson, Gerald M.",HIUS 141 - Economic Hist/United States II (A),FA15,37,8,100.00%,100.00%,6.21,B+ (3.67),B- (2.90)
"Sine, Elizabeth E",HIUS 142A - US in 20th Century 1900-1945 (A),FA15,34,28,92.30%,96.20%,5.65,B+ (3.61),B (3.29)
"Sine, Elizabeth E",HIUS 144 - Topics in U.S. History (A),FA15,14,11,100.00%,100.00%,9.05,B+ (3.43),N/A
"Parrish, Michael E.",HIUS 150 - American Legal History to 1865 (A),FA15,32,11,81.80%,81.80%,4.5,B+ (3.38),B- (2.95)
"Hendrickson, Gerald M.",HIUS 181 - Topics in 20th Century U.S. (B),FA15,13,5,100.00%,100.00%,10.9,B+ (3.60),N/A
"Henderson, David Kenneth",HIEU 143 - Europn Intellct Hst(1870-1945) (A),S215,21,11,81.80%,81.80%,5.41,B+ (3.63),B (3.20)
"Patterson, Patrick H.",HIEU 152GS - Everyday Life/Dictatorial Soc (A),S215,23,21,95.20%,100.00%,8.5,B+ (3.57),A- (3.79)
"Monteon, Michael P.",HILA 132 - History of Contemporary Mexico (A),S215,14,2,100.00%,100.00%,6.5,B (3.00),N/A
"Monteon, Michael P.",HILD 14 - Film & History in Latin Amer (A),S215,20,2,100.00%,100.00%,4.5,A (4.00),B+ (3.38)
"Hanna, Mark G.",HILD 2A - United States History (A),S215,28,11,100.00%,100.00%,5.9,B+ (3.33),B (3.08)
"Smuin, Benjamin James",HINE 118 - Middle East/Twentieth Century (A),S215,15,4,100.00%,75.00%,8,A (4.00),N/A
"Hineline, Mark Lawrence",HISC 104 - History of Popular Science (A),S215,17,6,100.00%,100.00%,6.17,B+ (3.50),N/A
"Widener, Daniel",HITO 155 - Race/Sport/Inequality 20th Cen (A),S215,40,8,87.50%,87.50%,11.25,B+ (3.40),B+ (3.38)
"Gutierrez, Laura D",HIUS 113 - History of Mexican America (A),S215,32,12,90.90%,100.00%,6.68,B+ (3.50),B+ (3.59)
"Widener, Daniel",HIUS 114 - California History (A),S215,31,6,100.00%,83.30%,6.83,A- (3.83),B+ (3.58)
"Hanna, Mark G.",HIUS 133 - The Golden Age of Piracy (A),S215,20,7,100.00%,100.00%,7.64,B+ (3.33),B+ (3.53)
"Nelson, Kristopher",HIUS 151 - American Legal History 1865-P (A),S215,12,5,100.00%,100.00%,5.3,A- (3.80),N/A
"O'Keefe, Amy Merrill",HIEA 131 - China/War & Revolution 1911-49 (A),S115,23,9,100.00%,88.90%,8.94,B+ (3.38),B- (2.94)
"Gallant, Thomas W.",HIEU 117GS - Tradtl Greek Society:Ethnogrph (A),S115,22,3,100.00%,50.00%,6.5,B+ (3.50),B+ (3.39)
"Parrish, Michael E.",HIEU 121GS - Scotl/Engl Civil War 1601-1689 (A),S115,20,9,100.00%,100.00%,6.72,A- (3.75),A- (3.73)
"Hillman, Susanne","HIEU 129 - Paris, Past and Present (A)",S115,27,21,95.20%,100.00%,7.8,B+ (3.60),B (3.27)
"Hillman, Susanne",HIEU 144 - Topics in European History (A),S115,31,28,92.90%,96.40%,6.13,A- (3.77),B+ (3.68)
