Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Glaser, Dale",PSYC 151 - Tests and Measurement (A),FA16,26,16,80.00%,86.70%,3.97,B (3.29),B (3.07)
"Willis, Jarryd Thomas",PSYC 155 - Social Psychology and Medicine (A),FA16,162,104,94.00%,94.00%,5.45,B+ (3.70),A- (3.76)
"Anzures, Gizelle",PSYC 156 - Cognitive Development/Infancy (A),FA16,98,55,94.00%,86.00%,4.38,B+ (3.37),N/A
"Kaplan, Paul",PSYC 164 - Criminology (A),FA16,225,96,89.40%,88.30%,4.59,B+ (3.42),B+ (3.30)
"Gasperi, Marianna",PSYC 168 - Psychological Disorders/Child (A),FA16,241,203,92.00%,87.60%,5.93,B (3.16),B- (3.00)
"Anagnostaras, Stephan",PSYC 171 - Neurobiology-Learning & Memory (A),FA16,30,23,91.30%,91.30%,5.2,A- (3.75),B+ (3.38)
"Glaser, Dale",PSYC 178 - Industrial Organizational Psyc (A),FA16,114,56,88.70%,90.60%,4.22,B (3.10),B- (2.84)
"George, Olivier","PSYC 179 - Drugs,Addiction&Mental Disordr (A)",FA16,180,144,84.00%,83.30%,5.32,B (3.10),B (3.12)
"Hanes, Esther",PSYC 180 - Adolescence (B),FA16,62,51,96.10%,96.10%,5.25,B+ (3.54),B+ (3.49)
"Fletcher, Laura Michelle",PSYC 182 - Illusions and the Brain (A),FA16,72,51,91.70%,85.40%,3.28,A- (3.70),B+ (3.52)
"George, Olivier",PSYC 188 - Impulse Control Disorders (A),FA16,160,134,93.30%,91.00%,5.54,B+ (3.35),B (3.15)
"Carver, Leslie J.",PSYC 193 - Topics in Psychology (B),FA16,1,1,100.00%,100.00%,0.5,A (4.00),N/A
"Heyman, Gail D.",PSYC 194A - Honors Thesis I (A),FA16,19,9,100.00%,88.90%,2.94,A- (3.89),N/A
"Stoermer, Viola Sophie",PSYC 2 - Gen Psych:Biological Foundatns (A),FA16,299,148,81.60%,85.80%,5.04,B+ (3.33),B- (2.89)
"Sanders, Mara I.",PSYC 6 - General Psychology: Social (A),FA16,359,162,89.20%,56.70%,4.53,B+ (3.42),B (3.04)
"Lowe, Angela Beth",PSYC 60 - Introduction to Statistics (A),FA16,253,205,84.60%,91.00%,5.19,B (3.28),B (3.12)
"Rickard, Timothy C.",PSYC 60 - Introduction to Statistics (B),FA16,248,197,89.80%,85.80%,4.62,B+ (3.38),B- (2.75)
"Geller, Emma Harlan",PSYC 70 - Research Methods in Psychology (A),FA16,86,74,82.40%,93.20%,5.25,B (3.28),B- (2.78)
"Gorman, Michael R.",PSYC 87 - Freshman Seminar (A),FA16,14,11,100.00%,88.90%,1.17,A (4.00),N/A
"Heyman, Gail D.",PSYC 90 - Undergraduate Seminar (A),FA16,26,9,100.00%,88.90%,0.5,A (4.00),N/A
"Dobkins, Karen R.",No CAPEs submitted,FA16,1,0,N/A,N/A,N/A,N/A,N/A
"Serences, John Thomas",PSYC 99 - Independent Study (C),FA16,1,1,100.00%,100.00%,10.5,N/A,N/A
"Anstis, Stuart",PSYC 99 - Independent Study (D),FA16,2,2,100.00%,100.00%,7.5,N/A,N/A
"Hoffman, Drew Ellen",PSYC 1 - Psychology (A),S216,62,48,97.90%,91.50%,4.8,A- (3.71),B+ (3.36)
"Turner, Katherine C",PSYC 100 - Clinical Psychology (A),S216,44,10,88.90%,100.00%,6.5,B+ (3.33),B+ (3.42)
"Lowe, Angela Beth",PSYC 105 - Cognitive Psychology (A),S216,61,16,100.00%,100.00%,4.63,B+ (3.53),B (3.10)
"Winkielman, Piotr",PSYC 114 - Lab/Psychophysiological Persp (A),S216,30,11,100.00%,100.00%,4.14,A- (3.70),A- (3.72)
"Christenfeld, Nicholas",PSYC 130 - Delay of Gratification (A),S216,24,7,100.00%,100.00%,7.36,B+ (3.43),B+ (3.41)
"Fleischer, Jason G",PSYC 142 - Psychology of Consciousness (A),S216,29,9,88.90%,100.00%,4.94,B+ (3.38),B (3.12)
"Shemmassian, Shirag K",PSYC 154 - Behavior Modification (A),S216,19,9,100.00%,100.00%,6.5,B+ (3.63),N/A
"Christenfeld, Nicholas",PSYC 157 - Happiness (A),S216,32,8,85.70%,85.70%,4.79,B (3.14),B+ (3.33)
"Blumenthal, Emily Jeanne",PSYC 168 - Psychological Disorders/Child (A),S216,27,24,100.00%,95.80%,5.68,B (3.18),B (3.11)
"Gorman, Michael R.",PSYC 172 - Psychology of Human Sexuality (A),S216,21,14,92.90%,100.00%,8.5,B+ (3.46),B (3.30)
"Hanes, Esther",PSYC 180 - Adolescence (A),S216,40,11,100.00%,100.00%,4.5,B+ (3.36),B+ (3.38)
"Anagnostaras, Stephan",PSYC 181 - Drugs And Behavior (A),S216,73,20,90.00%,75.00%,4.61,A- (3.79),B (3.28)
"Rickard, Timothy C.",PSYC 191 - Psychology of Sleep (A),S216,12,2,100.00%,100.00%,4.5,B+ (3.50),N/A
"Albright, Thomas D",PSYC 2 - Gen Psych:Biological Foundatns (A),S216,43,14,84.60%,69.20%,6,B+ (3.60),B- (2.85)
"Rickard, Timothy C.",PSYC 60 - Introduction to Statistics (A),S216,50,15,93.30%,100.00%,6.77,B+ (3.40),B- (2.99)
"Blumenthal, Emily Jeanne",PSYC 7 - Gen Psych:Developmental Fndtns (A),S216,31,26,96.00%,96.00%,6.18,B+ (3.45),B (3.19)
"Glaser, Dale",PSYC 70 - Research Methods in Psychology (B),S216,13,5,80.00%,100.00%,2.9,B+ (3.40),N/A
"Heyman, Gail D.",PSYC 101 - Developmental Psychology (A),S116,46,8,100.00%,100.00%,7.5,B+ (3.50),B+ (3.34)
"Sousa, Margarette Pamela-Burd",PSYC 104 - Social Psychology (A),S116,71,24,100.00%,95.70%,6.24,B+ (3.59),B+ (3.31)
"Gorman, Michael R.",PSYC 106 - Behavioral Neuroscience (A),S116,53,49,91.80%,89.80%,7.19,B (3.28),B- (2.77)
"Sousa, Margarette Pamela-Burd",PSYC 137 - Social Cognition (A),S116,41,8,100.00%,100.00%,5.25,B+ (3.38),B (3.21)
"Wixted, John T",PSYC 144 - Memory and Amnesia (A),S116,68,22,90.90%,81.80%,4.98,B+ (3.56),B- (2.74)
"Willis, Jarryd Thomas",PSYC 155 - Social Psychology and Medicine (B),S116,35,9,87.50%,87.50%,5.5,B+ (3.63),B+ (3.66)
"Kaplan, Paul",PSYC 164 - Criminology (A),S116,45,11,100.00%,90.00%,5.1,B+ (3.60),B+ (3.44)
"Ramachandran, Vilayanur S",PSYC 169 - Brain Damage & Mental Function (A),S116,17,2,100.00%,100.00%,12.5,A (4.00),N/A
"George, Olivier","PSYC 179 - Drugs,Addiction&Mental Disordr (A)",S116,38,8,100.00%,87.50%,10,B+ (3.50),B- (2.88)
"Anagnostaras, Stephan",PSYC 181GS - Drugs and Behavior (A),S116,19,4,100.00%,100.00%,3.5,A (4.00),N/A
"George, Olivier",PSYC 188 - Impulse Control Disorders (A),S116,41,13,92.30%,92.30%,5.42,B (3.08),B (3.16)
"Blumenthal, Emily Jeanne",PSYC 190 - Parenting (A),S116,28,27,100.00%,100.00%,5.46,B+ (3.52),B+ (3.65)
"Tillman, Katharine",PSYC 193 - Topics in Psychology (A),S116,5,1,100.00%,100.00%,4.5,B (3.00),N/A
"Anagnostaras, Stephan",PSYC 193GS - Special Topics in Psychology (A),S116,19,2,100.00%,100.00%,2.5,A (4.00),N/A
"Wilson, Brent M",PSYC 3 - Gen Psych:Cognitive Foundatns (A),S116,10,8,87.50%,87.50%,5.25,B+ (3.50),N/A
"Winward, Jennifer Laven",PSYC 4 - General Psychology: Behavioral (A),S116,73,45,95.30%,97.70%,5.38,B+ (3.52),B- (2.73)
"Willis, Jarryd Thomas",PSYC 6 - General Psychology: Social (A),S116,57,30,100.00%,100.00%,6.29,A- (3.86),B+ (3.62)
"Lowe, Angela Beth",PSYC 60 - Introduction to Statistics (A),S116,64,27,100.00%,100.00%,8.18,B (3.27),B- (2.96)
"Belding, Jennifer",PSYC 1 - Psychology (A),SP16,339,145,97.20%,93.70%,4.85,B+ (3.54),B (3.00)
"Rose, Fred E.",PSYC 100 - Clinical Psychology (A),SP16,252,121,91.50%,85.60%,5.76,B (3.09),B- (2.84)
"Brady, Adena Schachner",PSYC 101 - Developmental Psychology (A),SP16,201,92,97.80%,97.80%,4.87,B (3.30),B- (2.90)
"Gentner, Tim",PSYC 102 - Sensory Neuroscience (A),SP16,67,30,83.30%,80.00%,4.5,B+ (3.31),B (3.18)
"Christenfeld, Nicholas",PSYC 104 - Social Psychology (A),SP16,191,86,92.90%,78.80%,4.8,B (3.15),B- (2.86)
"Gremel, Christina M",PSYC 106 - Behavioral Neuroscience (A),SP16,84,63,82.00%,91.80%,5.03,B (3.11),B- (2.87)
"Metusalem, Ross",PSYC 111B - Research Methods II (A),SP16,24,13,100.00%,100.00%,8.5,A- (3.92),A- (3.85)
"Carr, Evan Walker",PSYC 114 - Lab/Psychophysiological Persp (A),SP16,49,44,93.00%,100.00%,4.07,B+ (3.51),B+ (3.48)
"Pashler, Harold E",PSYC 115B - Lab/Cognitive Psychology II (A),SP16,19,9,71.40%,71.40%,3.36,A- (3.86),N/A
"Winward, Jennifer Laven",PSYC 116 - Lab/Clinical Psyc Research (A),SP16,22,15,100.00%,100.00%,6,A- (3.83),A- (3.84)
"Bajic, Daniel Andrew",PSYC 117 - Psyc Project Lab (A),SP16,34,23,95.50%,86.40%,3.93,A (4.00),A (4.00)
"Miller, Cory T.",PSYC 122 - Mechanisms of Animal Behavior (A),SP16,86,77,94.70%,98.70%,4.21,B+ (3.38),B+ (3.36)
"Fletcher, Laura Michelle",PSYC 129 - The Logic of Perception (A),SP16,32,17,93.80%,93.80%,3.63,B (3.29),B (3.17)
"Kaye, Walter H.",PSYC 134 - Eating Disorders (A),SP16,265,112,95.40%,89.90%,3.45,B+ (3.57),B+ (3.33)
"Belding, Jennifer",PSYC 137 - Social Cognition (A),SP16,159,92,93.40%,84.60%,4.66,B (3.26),B- (2.98)
"Athanasopoulou, Angeliki",PSYC 145 - Psychology of Language (A),SP16,41,20,66.70%,27.80%,4.94,B (3.18),B (3.23)
"Morland, Leslie Ann",PSYC 154 - Behavior Modification (A),SP16,105,82,86.60%,84.10%,4.48,B+ (3.46),B (3.27)
"Winward, Jennifer Laven",PSYC 154 - Behavior Modification (A),SP16,109,82,86.60%,84.10%,4.5,B+ (3.46),B (3.27)
"Wixted, John T",PSYC 162 - Psychology and the Law (A),SP16,277,213,96.70%,93.80%,4.26,B+ (3.31),B (3.02)
"Lapidis, Rachael Lynn",PSYC 168 - Psychological Disorders/Child (A),SP16,296,243,95.00%,98.30%,4.83,B+ (3.35),B (3.20)
"Ramachandran, Vilayanur S",PSYC 169 - Brain Damage & Mental Function (A),SP16,101,39,89.50%,71.10%,5.24,B (3.18),B- (2.93)
"Blumenthal, Emily Jeanne",PSYC 190 - Parenting (A),SP16,305,274,97.10%,96.30%,4.12,B+ (3.48),B+ (3.41)
"Rickard, Timothy C.",PSYC 191 - Psychology of Sleep (A),SP16,71,30,89.70%,93.10%,3.21,B+ (3.42),C+ (2.68)
"Rickard, Timothy C.",PSYC 193 - Topics in Psychology (A),SP16,12,4,100.00%,100.00%,3.5,A (4.00),N/A
"Heyman, Gail D.",No CAPEs submitted,SP16,1,0,N/A,N/A,N/A,N/A,N/A
"Carver, Leslie J.",No CAPEs submitted,SP16,1,0,N/A,N/A,N/A,N/A,N/A
"Urgolites, Zhisen Jiang",PSYC 3 - Gen Psych:Cognitive Foundatns (A),SP16,276,105,86.00%,64.00%,3.38,B+ (3.41),B (3.20)
"Glaser, Dale",PSYC 60 - Introduction to Statistics (A),SP16,203,82,87.80%,75.70%,3.82,B+ (3.59),B (3.22)
"Lowe, Angela Beth",PSYC 60 - Introduction to Statistics (B),SP16,246,120,81.90%,91.40%,5.28,B (3.29),B- (2.99)
"Lowe, Angela Beth",PSYC 7 - Gen Psych:Developmental Fndtns (A),SP16,263,107,95.00%,97.00%,3.96,B+ (3.40),B (3.18)
"Metusalem, Ross",PSYC 70 - Research Methods in Psychology (A),SP16,74,38,89.20%,94.60%,4.67,B (3.23),B- (2.99)
"Gorman, Michael R.",PSYC 87 - Freshman Seminar (A),SP16,16,8,100.00%,100.00%,1.07,A (4.00),N/A
"Mac Leod, Donald I.",PSYC 87 - Freshman Seminar (B),SP16,5,2,100.00%,100.00%,1.5,A (4.00),N/A
"Mac Leod, Donald I.",PSYC 90 - Undergraduate Seminar (A),SP16,20,6,100.00%,100.00%,0.5,N/A,N/A
"Gorman, Michael R.",No CAPEs submitted,SP16,1,0,N/A,N/A,N/A,N/A,N/A
"Vul, Edward",PSYC 99 - Independent Study (B),SP16,1,1,100.00%,100.00%,4.5,N/A,N/A
"Belding, Jennifer",PSYC 1 - Psychology (A),WI16,234,139,96.40%,97.80%,4.74,B+ (3.69),B (3.13)
"Winward, Jennifer Laven",PSYC 101 - Developmental Psychology (A),WI16,282,228,95.20%,93.00%,4.33,B+ (3.39),B- (3.00)
"Serences, John Thomas",PSYC 102 - Sensory Neuroscience (A),WI16,346,140,88.80%,96.30%,4.79,B+ (3.47),B+ (3.39)
"Belding, Jennifer",PSYC 104 - Social Psychology (A),WI16,250,149,98.00%,93.20%,5.04,B+ (3.45),B (3.07)
"Lowe, Angela Beth",PSYC 105 - Cognitive Psychology (A),WI16,188,79,96.10%,98.70%,4.77,B+ (3.44),B (3.06)
"Aron, Adam",PSYC 108 - Cognitive Neuroscience (A),WI16,42,21,75.00%,70.00%,8.5,B- (2.95),B (3.26)
"Heyman, Gail D.",PSYC 110 - Junior Honors Research Seminar (A),WI16,23,15,92.90%,92.90%,3.79,A- (3.71),A- (3.90)
"Metusalem, Ross",PSYC 111A - Research Methods I (A),WI16,31,25,84.00%,100.00%,9.86,B+ (3.56),A- (3.77)
"Pashler, Harold E",PSYC 115A - Lab/Cognitive Psychology I (A),WI16,24,10,87.50%,75.00%,6.5,A- (3.75),B+ (3.41)
"Winward, Jennifer Laven",PSYC 116 - Lab/Clinical Psyc Research (A),WI16,21,9,100.00%,100.00%,4.5,A (4.00),A- (3.97)
"Kennelly, Arthur Edwin",PSYC 120 - Learning and Motivation (A),WI16,48,26,88.00%,96.00%,9.78,B+ (3.36),B+ (3.70)
"Meyer, Stephen F",PSYC 120 - Learning and Motivation (A),WI16,48,26,88.00%,96.00%,9.78,B+ (3.36),B+ (3.70)
"Kennelly, Arthur Edwin",PSYC 121 - Laboratory/Operant Psychology (A),WI16,48,26,91.30%,87.00%,7.05,B+ (3.50),A- (3.76)
"Meyer, Stephen F",PSYC 121 - Laboratory/Operant Psychology (A),WI16,48,26,91.30%,91.30%,7.05,B+ (3.50),A- (3.76)
"Rose, Fred E.",PSYC 125 - Clinical Neuropsychology (A),WI16,92,37,91.40%,100.00%,5.62,B+ (3.38),B- (2.77)
"Leinenger, Mallorie Nicole",PSYC 128 - Psychology of Reading (A),WI16,65,26,80.80%,100.00%,4.12,B (3.19),B (3.08)
"Christenfeld, Nicholas",PSYC 130 - Delay of Gratification (A),WI16,30,12,83.30%,75.00%,4.67,B+ (3.42),B+ (3.39)
"Mac Leod, Donald I.",PSYC 141 - Evolution and Human Nature (A),WI16,23,7,85.70%,85.70%,3.64,B+ (3.57),B+ (3.55)
"Edelman, David B",PSYC 142 - Psychology of Consciousness (A),WI16,46,18,83.30%,72.20%,5.09,B+ (3.47),B (3.21)
"Wixted, John T",PSYC 144 - Memory and Amnesia (A),WI16,176,77,93.30%,98.70%,3.9,B+ (3.48),B- (2.99)
"Harris, Christine Renee",PSYC 153 - Psychology of Emotion (A),WI16,203,85,97.50%,95.10%,5.75,B+ (3.49),B (3.30)
"Gorman, Michael R.",PSYC 172 - Psychology of Human Sexuality (A),WI16,164,81,93.40%,77.60%,4.34,B+ (3.38),B (3.07)
"Sammartino, Jonathan",PSYC 182 - Illusions and the Brain (A),WI16,189,165,88.40%,92.10%,5.26,B (3.20),B- (2.91)
"George, Olivier",PSYC 188 - Impulse Control Disorders (A),WI16,194,90,96.60%,84.10%,3.83,B+ (3.62),B- (3.00)
"Pashler, Harold E",PSYC 193 - Topics in Psychology (A),WI16,18,9,88.90%,88.90%,4.5,A- (3.78),N/A
"Carver, Leslie J.",PSYC 193 - Topics in Psychology (B),WI16,2,1,100.00%,100.00%,2.5,A (4.00),N/A
"Collett, Marta S",PSYC 2 - Gen Psych:Biological Foundatns (A),WI16,126,92,79.30%,71.70%,4.25,B (3.16),B- (2.98)
"Willis, Jarryd Thomas",PSYC 6 - General Psychology: Social (A),WI16,458,262,97.60%,88.50%,3.74,B+ (3.69),A- (3.79)
"Lowe, Angela Beth",PSYC 60 - Introduction to Statistics (A),WI16,238,123,83.70%,93.50%,5.04,B (3.29),B (3.03)
"Dede, Adam Joseph",PSYC 60 - Introduction to Statistics (B),WI16,223,122,77.90%,71.30%,4.86,B+ (3.44),B (3.18)
"Metusalem, Ross",PSYC 70 - Research Methods in Psychology (A),WI16,127,75,79.50%,90.40%,4.53,B (3.12),B- (2.99)
"Mac Leod, Donald I.",PSYC 90 - Undergraduate Seminar (A),WI16,9,5,100.00%,100.00%,0.5,N/A,N/A
"Rickard, Timothy C.",No CAPEs submitted,WI16,1,0,N/A,N/A,N/A,N/A,N/A
"Christenfeld, Nicholas",PSYC 99 - Independent Study (B),WI16,2,2,100.00%,100.00%,0.5,N/A,N/A
"Belding, Jennifer",PSYC 1 - Psychology (A),FA15,395,222,96.30%,96.30%,5.84,B+ (3.60),B (3.20)
"Rose, Fred E.",PSYC 100 - Clinical Psychology (A),FA15,185,86,92.60%,88.90%,6.58,B+ (3.32),C+ (2.66)
"Heyman, Gail D.",PSYC 101 - Developmental Psychology (A),FA15,324,153,95.90%,93.20%,5.48,B+ (3.52),B (3.26)
"Belding, Jennifer",PSYC 104 - Social Psychology (A),FA15,272,145,99.30%,96.50%,5.14,B+ (3.46),B (3.17)
"Brady, Timothy Francis",PSYC 105 - Cognitive Psychology (A),FA15,179,79,96.10%,98.70%,4.79,B+ (3.49),B- (2.81)
"Dobkins, Karen R.",PSYC 106 - Behavioral Neuroscience (A),FA15,274,107,86.50%,94.20%,4.9,B+ (3.36),B- (2.85)
"Winward, Jennifer Laven",PSYC 116 - Lab/Clinical Psyc Research (A),FA15,21,14,100.00%,100.00%,4.96,A (4.00),A- (3.96)
"Bajic, Daniel Andrew",PSYC 117 - Psyc Project Lab (A),FA15,20,12,100.00%,100.00%,7.95,A (4.00),A (4.00)
"Linke, Sarah Elizabeth",PSYC 124 - Clinical Assessment/Treatment (B),FA15,79,69,97.10%,91.30%,4.53,B+ (3.48),B+ (3.35)
"Golden, Susan S.",PSYC 133 - Circadian Rhythms-Bio Clocks (A),FA15,24,20,65.00%,50.00%,6.18,B (3.05),B (3.07)
"Gorman, Michael R.",PSYC 133 - Circadian Rhythms-Bio Clocks (A),FA15,25,20,65.00%,70.00%,6.18,B (3.05),B (3.07)
"Kaye, Walter H.",PSYC 134 - Eating Disorders (A),FA15,234,97,96.80%,96.80%,3.92,A- (3.77),B+ (3.41)
"Toffolo, Marieke",PSYC 155 - Social Psychology and Medicine (A),FA15,139,82,77.50%,66.30%,3.93,B+ (3.39),C+ (2.70)
"Carver, Leslie J.",PSYC 156 - Cognitive Development/Infancy (A),FA15,61,34,100.00%,100.00%,3.85,A- (3.81),A- (3.70)
"Kaplan, Paul",PSYC 164 - Criminology (A),FA15,119,49,93.60%,89.40%,3.95,B+ (3.40),B (3.17)
"Blumenthal, Emily Jeanne",PSYC 168 - Psychological Disorders/Child (A),FA15,267,228,94.20%,94.70%,4.93,B+ (3.34),B- (2.91)
"Dede, Adam Joseph",PSYC 171 - Neurobiology-Learning & Memory (A),FA15,25,11,90.00%,100.00%,7.7,B+ (3.33),B (3.09)
"Glaser, Dale",PSYC 178 - Industrial Organizational Psyc (A),FA15,137,69,87.50%,81.30%,4.3,B (3.28),B- (2.88)
"George, Olivier","PSYC 179 - Drugs,Addiction&Mental Disordr (A)",FA15,156,54,83.00%,58.50%,5.01,B (3.13),B- (2.76)
"Hanes, Esther",PSYC 180 - Adolescence (B),FA15,85,41,97.40%,100.00%,4.29,B+ (3.54),B (3.12)
"Anagnostaras, Stephan",PSYC 181 - Drugs And Behavior (A),FA15,294,234,88.50%,79.50%,3.67,B+ (3.43),B- (2.97)
"Christenfeld, Nicholas",PSYC 192 - Senior Seminar in Psychology (A),FA15,9,2,100.00%,100.00%,2.5,N/A,N/A
"Carver, Leslie J.",PSYC 193 - Topics in Psychology (A),FA15,3,1,100.00%,100.00%,2.5,A (4.00),N/A
"Winward, Jennifer Laven",PSYC 4 - General Psychology: Behavioral (A),FA15,284,121,96.60%,98.30%,4.13,B+ (3.49),B- (2.86)
"Lowe, Angela Beth",PSYC 60 - Introduction to Statistics (A),FA15,254,125,85.50%,91.10%,5.52,B (3.22),B (3.01)
